station_id,station_name,PM25,msa_id,msa_name,census_id,census_tract,pct_people_of_color,pct_low_income,pct_unemployed
148863,CARB_TCAPCD_RICHFIELD_ELEMENTART,2.1,39780,"Red Bluff, CA",06103001000,Tehama County,0.5662100456621,0.363335100742312,0.042525773195876
148861,CARB_SMOKE_TCAPCD_MANTONCALFIRE,0.2,39780,"Red Bluff, CA",06103000100,Tehama County,0.208101667990469,0.357751623376623,0.110151187904968
148965,Carriger and Solano,0.9,42220,"Santa Rosa-Petaluma, CA",06097150303,Sonoma County,0.233772693359861,0.07525,0.067360685854256
148993,CARB_SMOKE_TCAPCD_LOS_MO_VFW,1.1,39780,"Red Bluff, CA",06103000900,Tehama County,0.464869515342701,0.446582423894314,0.059405940594059
149009,CARB_SMOKE_TCAPCD_FLOURNOYELEMENTARY,5.0,39780,"Red Bluff, CA",06103000300,Tehama County,0.194257178526841,0.378690629011553,0.041891891891892
149015,CARB_SMOKE_TCAPCD_REEDSCREEKELEMENTARY,1.3,39780,"Red Bluff, CA",06103000300,Tehama County,0.194257178526841,0.378690629011553,0.041891891891892
149017,CARB_SMOKE_TCAPCD_LOS_MO_HS,14.0,39780,"Red Bluff, CA",06103000900,Tehama County,0.464869515342701,0.446582423894314,0.059405940594059
149021,CARB_SMOKE_TCAPCD_GERBER_SCHOOL,4.9,39780,"Red Bluff, CA",06103000800,Tehama County,0.515748923634716,0.450713800135962,0.062567421790723
149050,SHASTAAQMD_ARB#_PACHECO SCHOOL,4.8,39820,"Redding, CA",06089011501,Shasta County,0.138956310679612,0.276556209352741,0.010353227771011
149156,SHASTAAQMD_ARB#8_MONTGOMERY CREEK ELEMENTARY,0.1,39820,"Redding, CA",06089012606,Shasta County,0.342823598473731,0.384662203286671,0.142651296829971
149286,NC#160_Freshwater_Freshwater ES,0.2,21700,"Eureka-Arcata, CA",06023010600,Humboldt County,0.145863925599608,0.306823760432008,0.097222222222222
149300,SHASTAAQMD_ARB#8_MONTGOMERY CREEK FIRE STATION71,1.4,39820,"Redding, CA",06089012606,Shasta County,0.342823598473731,0.384662203286671,0.142651296829971
149318,Brazen Estates,0.1,42220,"Santa Rosa-Petaluma, CA",06097150501,Sonoma County,0.156294200848656,0.203119461183977,0.037012113055182
149320,SHASTAAQMD_ARB#5_ANDERSON HIGH SCHOOL,0.7,39820,"Redding, CA",06089012000,Shasta County,0.198758968392476,0.458926829268293,0.025954946131244
149330,SHASTAAQMD_ARB#4_BELLA VISTA ELEMENTARY,0.4,39820,"Redding, CA",06089011801,Shasta County,0.153418384036637,0.230366492146597,0.076555023923445
149328,SHASTAAQMD_ARB#11_OAKRUNSTORE,0.6,39820,"Redding, CA",06089012606,Shasta County,0.342823598473731,0.384662203286671,0.142651296829971
149342,CARB_Smoke_LCAQMD_Office_Ref,0.0,17340,"Clearlake, CA",06033000402,Lake County,0.31810766721044,0.267536704730832,0.108333333333333
149402,Pacific Exterior,5.5,41860,"San Francisco-Oakland-Fremont, CA",06075013200,San Francisco County,0.354617145764437,0.077709611451943,0.012478485370052
149580,NC#161_Kneeland_Kneeland ES,0.6,21700,"Eureka-Arcata, CA",06023001200,Humboldt County,0.238354506957048,0.452436738519213,0.128526645768025
149584,DonkeyHillRes,0.2,17340,"Clearlake, CA",06033001302,Lake County,0.310306282137268,0.245974329054842,0.142602495543672
149590,#154,0.9,21700,"Eureka-Arcata, CA",06023011200,Humboldt County,0.301665799062988,0.356676247713614,0.105351170568562
149588,NC#152_Smith River_Tolowa Dee-ni' Nation_Lucky7,0.0,18860,"Crescent City, CA",06015000202,Del Norte County,0.302554632194521,0.295770299475147,0.039800995024876
149594,NC#157_Fortuna,1.3,21700,"Eureka-Arcata, CA",06023010901,Humboldt County,0.330209241499564,0.365572315882875,0.032921810699588
149606,NC#149_Scotia_ScotiaES,1.8,21700,"Eureka-Arcata, CA",06023011100,Humboldt County,0.287968441814596,0.445621001544231,0.101310043668122
149604,NC#150_Cutten_RidgewoodES,0.0,21700,"Eureka-Arcata, CA",06023010702,Humboldt County,0.221458946679751,0.545157068062827,0.076368876080692
149614,NC#159_Fieldbrook_Fieldbrook ES,0.0,21700,"Eureka-Arcata, CA",06023010300,Humboldt County,0.187832446808511,0.291087766858692,0.103921568627451
149634,Chuckwagon,3.9,40900,"Sacramento-Roseville-Folsom, CA",06061021328,Placer County,0.471908960426492,0.125999589911831,0.027777777777778
149632,NC#151_Smith River_Tolowa Dee-ni' Nation_Lucky7,7.7,18860,"Crescent City, CA",06015000202,Del Norte County,0.302554632194521,0.295770299475147,0.039800995024876
