state_code,county_code,site_number,parameter_code,poc,parameter_name,open_date,close_date,concurred_exclusions,dominant_source,measurement_scale,measurement_scale_def,monitoring_objective,last_method_code,last_method_description,last_method_begin_date,naaqs_primary_monitor,qa_primary_monitor,monitor_type,networks,monitoring_agency_code,monitoring_agency,si_id,latitude,longitude,datum,lat_lon_accuracy,elevation,probe_height,pl_probe_location,local_site_name,address,state_name,county_name,city_name,cbsa_code,cbsa_name,csa_code,csa_name,tribal_code,tribe_name
06,073,0001,88101,3,PM2.5 - Local Conditions,2023-06-30,,,,NEIGHBORHOOD,500 M TO 4KM,GENERAL/BACKGROUND,638,Teledyne T640X at 16.67 LPM w/Network Data Alignment enabled - Broadband spectroscopy,2023-06-30,Y,,SLAMS,,0942,San Diego County Air Pollution Control District,1345,32.631242,-117.059088,NAD83,0.0,53.0,6.0,TOP OF BUILDING,Chula Vista,"84 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,41740,"San Diego-Carlsbad, CA",,,,
06,025,0010,88101,21,PM2.5 - Local Conditions,2021-04-02,,All (2021-04-02 - Present),AREA,NEIGHBORHOOD,500 M TO 4KM,OTHER,738,Teledyne T640X at 16.67 LPM (Corrected) - Broadband spectroscopy,2021-04-02,Y,,TRIBAL,,595,"Torres-Martinez Cahuilla Indians, California",104851,33.379078,-116.015997,WGS84,10.0,-67.0,4.57,TOP OF BUILDING,Torres Martinez Reservation,3451 Seaview Ave,California,Imperial,Salton Sea Beach,20940,"El Centro, CA",,,595,"Torres-Martinez Cahuilla Indians, California"
06,025,0005,88101,1,PM2.5 - Local Conditions,1999-01-01,2020-12-09,,,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2011-01-03,,,,,0942,San Diego County Air Pollution Control District,959,32.67618,-115.48307,NAD83,151.82,1.0,3.0,GROUND LEVEL SUPPORT,Calexico-Ethel Street,"1029 ETHEL ST, CALEXICO HIGH SCHOOL",California,Imperial,Calexico,20940,"El Centro, CA",,,,
06,065,8001,88101,2,PM2.5 - Local Conditions,1999-01-01,,,,NEIGHBORHOOD,500 M TO 4KM,HIGHEST CONCENTRATION,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2016-12-10,,,SLAMS,,0972,South Coast Air Quality Management District,1262,33.99958,-117.41601,WGS84,0.0,250.0,,,Rubidoux,"5888 MISSION BLVD., RUBIDOUX",California,Riverside,Rubidoux,40140,"Riverside-San Bernardino-Ontario, CA",348,"Los Angeles-Long Beach, CA",,
06,071,0306,88101,2,PM2.5 - Local Conditions,2000-01-01,,,,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE; REGIONAL TRANSPORT,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,2016-01-01,,,SLAMS,,0709,Mojave Desert AQMD,1309,34.510961,-117.32554,NAD83,10930.56,913.0,7.6,TOP OF BUILDING,Victorville-Park Avenue,"14306 PARK AVE., VICTORVILLE, CA",California,San Bernardino,Victorville,40140,"Riverside-San Bernardino-Ontario, CA",348,"Los Angeles-Long Beach, CA",,
06,073,1002,88101,1,PM2.5 - Local Conditions,1999-01-01,2015-08-28,,,NEIGHBORHOOD,500 M TO 4KM,GENERAL/BACKGROUND,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2011-07-02,,,,,0942,San Diego County Air Pollution Control District,1353,33.127769,-117.075086,NAD83,0.0,202.0,6.0,TOP OF BUILDING,Escondido,"600 E. VALLEY PKWY., ESCONDIDO",California,San Diego,Escondido,41740,"San Diego-Carlsbad, CA",,,,
06,107,2002,88101,1,PM2.5 - Local Conditions,1999-01-03,2020-12-07,,,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2011-03-01,,,,,0145,California Air Resources Board,1591,36.332179,-119.291228,WGS84,0.0,97.0,5.7,,Visalia-Church,"310 N CHURCH ST, VISALIA",California,Tulare,Visalia,47300,"Visalia-Porterville, CA",546,"Visalia-Porterville-Hanford, CA",,
06,037,4004,88101,1,PM2.5 - Local Conditions,2003-08-07,2022-04-30,,,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2018-10-18,,,,,0972,South Coast Air Quality Management District,91659,33.79236,-118.17533,WGS84,0.1,6.0,4.0,TOP OF BUILDING,Long Beach (South),"1305 E. Pacific Coast Hwy., Long Beach",California,Los Angeles,Long Beach,31080,"Los Angeles-Long Beach-Anaheim, CA",348,"Los Angeles-Long Beach, CA",,
06,073,1201,88101,1,PM2.5 - Local Conditions,2005-08-19,,All (2005-08-19 - 2008-10-27); All (2008-10-28 - 2015-04-01); All (2015-04-02 - Present),AREA,NEIGHBORHOOD,500 M TO 4KM,GENERAL/BACKGROUND,236,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,2005-08-19,,,TRIBAL,,583,"Pala Band of Luiseno Mission Indians of Pala Reservation, CA",94529,33.362593,-117.09023,WGS84,1.524,109.728,4.55,TOP OF BUILDING,Pala Airpad,"10848 HWY 76, PALA, CA 92059",California,San Diego,Pala,41740,"San Diego-Carlsbad, CA",,,583,"Pala Band of Luiseno Mission Indians of Pala Reservation, CA"
06,019,5001,88101,3,PM2.5 - Local Conditions,2008-11-25,,,AREA,NEIGHBORHOOD,500 M TO 4KM,HIGHEST CONCENTRATION,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,2020-07-01,Y,,SLAMS,,0945,San Joaquin Valley Unified Air Pollution Control District,943,36.819449,-119.716433,NAD83,3.04,86.0,6.0,TOP OF BUILDING,Clovis-Villa,"908 N VILLA AVE, CLOVIS",California,Fresno,Clovis,23420,"Fresno, CA",260,"Fresno-Madera, CA",,
