state_code,county_code,site_number,parameter_code,poc,parameter_name,open_date,close_date,concurred_exclusions,dominant_source,measurement_scale,measurement_scale_def,monitoring_objective,last_method_code,last_method_description,last_method_begin_date,naaqs_primary_monitor,qa_primary_monitor,monitor_type,networks,monitoring_agency_code,monitoring_agency,si_id,latitude,longitude,datum,lat_lon_accuracy,elevation,probe_height,pl_probe_location,local_site_name,address,state_name,county_name,city_name,cbsa_code,cbsa_name,csa_code,csa_name,tribal_code,tribe_name,geometry,msa_id,msa_name,index_right,tract_geoid,CNTY_NAME,ACSTOTPOP,PEOPCOLORPCT,LOWINCPCT,UNEMPPCT,LESSHSPCT,LINGISOPCT,PM25
06,025,0010,88101,1,PM2.5 - Local Conditions,2021-04-02,,All (2021-04-02 - Present),AREA,NEIGHBORHOOD,500 M TO 4KM,OTHER,238,Teledyne T640X at 16.67 LPM - Broadband spectroscopy,2021-04-02,,,TRIBAL,,595,"Torres-Martinez Cahuilla Indians, California",104851,33.379078,-116.015997,WGS84,10.0,-67.0,4.57,TOP OF BUILDING,Torres Martinez Reservation,3451 Seaview Ave,California,Imperial,Salton Sea Beach,20940,"El Centro, CA",,,595,"Torres-Martinez Cahuilla Indians, California",POINT (-116.015997 33.379078),20940,"El Centro, CA",1173,06025012302,Imperial County,6170,0.795623987034036,0.521076523994812,0.115682281059063,0.361061946902655,0.377231257437525,8.70777103825137
06,107,2003,88101,3,PM2.5 - Local Conditions,2022-01-13,,,,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,2022-01-13,Y,,SLAMS,,0145,California Air Resources Board,104965,36.30815,-119.3129,WGS84,5.0,98.0,,,Visalia-W. Ashland Avenue,"2005 West Ashland Avenue, Suite G, Visalia, CA, 93277",California,Tulare,Visalia,47300,"Visalia-Porterville, CA",546,"Visalia-Porterville-Hanford, CA",,,POINT (-119.3129 36.30815),47300,"Visalia, CA",658,06107001901,Tulare County,3456,0.524594907407407,0.240451388888889,0.054088050314465,0.079584775086505,0.009143807148795,21.5743081967213
06,071,8001,88101,3,PM2.5 - Local Conditions,2022-01-01,,,,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C - Beta Attenuation,2022-01-01,Y,Y,SLAMS,,0972,South Coast Air Quality Management District,1335,34.26464,-116.86147,NAD83,3.04,2056.0,2.0,GROUND LEVEL SUPPORT,Big Bear,"501 W. VALLEY BLVD., BIG BEAR CITY,",California,San Bernardino,Big Bear City,40140,"Riverside-San Bernardino-Ontario, CA",348,"Los Angeles-Long Beach, CA",,,POINT (-116.86147 34.26464),40140,"Riverside-San Bernardino-Ontario, CA",8081,06071011406,San Bernardino County,2814,0.420398009950249,0.364250177683014,0.098489822718319,0.140546006066734,0.019730941704036,7.54979169398907
06,073,1022,88101,3,PM2.5 - Local Conditions,2022-08-11,,All (2022-08-11 - 2023-07-06),POINT,NEIGHBORHOOD,500 M TO 4KM,GENERAL/BACKGROUND,638,Teledyne T640X at 16.67 LPM w/Network Data Alignment enabled - Broadband spectroscopy,2023-07-07,Y,Y,SLAMS,NCORE,0942,San Diego County Air Pollution Control District,100976,32.789565,-116.944308,NAD83,4.0,143.0,7.0,TOP OF BUILDING,El Cajon - Lexington Elementary School,533 First Street,California,San Diego,El Cajon,41740,"San Diego-Carlsbad, CA",,,,,POINT (-116.944308 32.789565),41740,"San Diego-Chula Vista-Carlsbad, CA",5958,06073015704,San Diego County,4483,0.548070488512157,0.481597144769128,0.060579064587973,0.14141765114663,0.13277428371768,11.0631155737705
06,029,0020,88101,3,PM2.5 - Local Conditions,2023-02-13,,,,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,2023-02-13,Y,,SLAMS,,0145,California Air Resources Board,105139,35.04944,-118.18893,WGS84,10.0,853.0,8.0,TOP OF BUILDING,Mojave-Pat Avenue,3200 Pat Avenue,California,Kern,Mojave,12540,"Bakersfield, CA",,,,,POINT (-118.18893 35.04944),12540,"Bakersfield-Delano, CA",8307,06029005900,Kern County,3570,0.803361344537815,0.484926052332196,0.072248480756246,0.198317839752103,0.111594202898551,9.37160521857924
06,073,1201,88101,21,PM2.5 - Local Conditions,2005-08-19,,All (2008-10-28 - 2015-04-01); All (2015-04-02 - Present),AREA,NEIGHBORHOOD,500 M TO 4KM,GENERAL/BACKGROUND,736,Teledyne T640 at 5.0 LPM (Corrected) - Broadband spectroscopy,2005-08-19,Y,,TRIBAL,,583,"Pala Band of Luiseno Mission Indians of Pala Reservation, CA",94529,33.362593,-117.09023,WGS84,1.524,109.728,4.55,TOP OF BUILDING,Pala Airpad,"10848 HWY 76, PALA, CA 92059",California,San Diego,Pala,41740,"San Diego-Carlsbad, CA",,,583,"Pala Band of Luiseno Mission Indians of Pala Reservation, CA",POINT (-117.09023 33.362593),41740,"San Diego-Chula Vista-Carlsbad, CA",2309,06073019109,San Diego County,4485,0.450167224080267,0.187193217313699,0.040878122634368,0.026186579378069,0.0,12.0194079234973
06,029,0014,88101,1,PM2.5 - Local Conditions,1999-01-01,,,,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2004-07-13,Y,Y,SLAMS,,0145,California Air Resources Board,1012,35.356615,-119.062613,NAD83,151.82,0.0,7.3,,Bakersfield-California,"5558 California Ave., Bakersfield CA 93309",California,Kern,Bakersfield,12540,"Bakersfield, CA",,,,,POINT (-119.062613 35.356615),12540,"Bakersfield-Delano, CA",3586,06029001804,Kern County,3490,0.543266475644699,0.254207777132908,0.04147764095917,0.042096574494428,0.031029619181946,17.0414614754098
06,037,9033,88101,1,PM2.5 - Local Conditions,2001-11-01,2022-12-31,,,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,2016-01-01,,,,,0709,Mojave Desert AQMD,1123,34.669739,-118.130511,NAD83,151.82,725.0,5.0,TOP OF BUILDING,Lancaster-Division Street,"43301 DIVISION ST., LANCASTER, CA",California,Los Angeles,Lancaster,31080,"Los Angeles-Long Beach-Anaheim, CA",348,"Los Angeles-Long Beach, CA",,,POINT (-118.130511 34.669739),31080,"Los Angeles-Long Beach-Anaheim, CA",1215,06037900504,Los Angeles County,7051,0.831938732094738,0.339942938659059,0.103262591067469,0.103625730994152,0.020530796194291,9.43018770491803
06,067,0006,88101,3,PM2.5 - Local Conditions,2000-05-01,,,AREA,NEIGHBORHOOD,500 M TO 4KM,HIGHEST CONCENTRATION; POPULATION EXPOSURE; REGIONAL TRANSPORT,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,2020-12-21,Y,,SLAMS,NCORE,0145,California Air Resources Board,1270,38.613779,-121.368014,WGS84,0.0,8.0,5.0,TOP OF BUILDING,Sacramento-Del Paso Manor,"DEL PASO-2701 AVALON DR, SACRAMENTO",California,Sacramento,Arden-Arcade,40900,"Sacramento--Roseville--Arden-Arcade, CA",472,"Sacramento-Roseville, CA",,,POINT (-121.368014 38.613779),40900,"Sacramento-Roseville-Folsom, CA",4743,06067006002,Sacramento County,5021,0.350726946823342,0.408945686900958,0.091749907510174,0.186289900575615,0.0426272292301,14.6781510928962
06,059,0007,88101,1,PM2.5 - Local Conditions,2001-09-01,,,MOBILE,URBAN SCALE,4 KM TO 50 KM,POPULATION EXPOSURE,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2018-08-11,Y,Y,SLAMS,,0972,South Coast Air Quality Management District,91686,33.83062,-117.93845,WGS84,20.0,10.0,2.0,OTHER,Anaheim,1630 W. PAMPAS LANE,California,Orange,Anaheim,31080,"Los Angeles-Long Beach-Anaheim, CA",348,"Los Angeles-Long Beach, CA",,,POINT (-117.93845 33.83062),31080,"Los Angeles-Long Beach-Anaheim, CA",3338,06059087105,Orange County,5636,0.843683463449255,0.311586452762923,0.069347688410386,0.17781875658588,0.181246426529445,13.9910461748634
06,029,0015,88101,1,PM2.5 - Local Conditions,1999-06-01,2018-03-16,,,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,118,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2006-04-05,,,,,0942,San Diego County Air Pollution Control District,1013,35.62109,-117.67296,WGS84,151.82,701.0,3.0,TOP OF BUILDING,Ridgecrest-California Ave,"100 WEST CALIFORNIA AVE, RIDGECREST, CA",California,Kern,Ridgecrest,12540,"Bakersfield, CA",,,,,POINT (-117.67296 35.62109),12540,"Bakersfield-Delano, CA",2890,06029005408,Kern County,5024,0.388136942675159,0.320901475867571,0.041300527240773,0.115937295885042,0.039066463723998,8.46194647540984
06,019,0011,88101,3,PM2.5 - Local Conditions,2012-01-18,,,,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,2012-01-18,Y,Y,SLAMS,,0145,California Air Resources Board,96528,36.78538,-119.77321,NAD83,1.0,96.0,,,Fresno - Garland,"3727 N FIRST ST, FRESNO",California,Fresno,Fresno,23420,"Fresno, CA",260,"Fresno-Madera, CA",,,POINT (-119.77321 36.78538),23420,"Fresno, CA",8798,06019005100,Fresno County,6523,0.811129848229342,0.557282760764806,0.172770700636943,0.318158567774936,0.04811320754717,19.42447568306009
06,001,0011,88101,3,PM2.5 - Local Conditions,2012-12-18,,,AREA,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE; SOURCE ORIENTED,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,2012-12-18,Y,,SLAMS,,0086,Bay Area Air Quality Management District,94938,37.814781,-122.282347,WGS84,6.0,0.0,5.2,TOP OF BUILDING,Oakland West,1100 21st Street,California,Alameda,Oakland,41860,"San Francisco-Oakland-Hayward, CA",488,"San Jose-San Francisco-Oakland, CA",,,POINT (-122.282347 37.814781),41860,"San Francisco-Oakland-Fremont, CA",5783,06001402400,Alameda County,2623,0.866946244757911,0.550713459313536,0.106269113149847,0.185634800202327,0.164251207729469,10.9923551912568
06,111,2002,88101,4,PM2.5 - Local Conditions,2014-03-17,,,,NEIGHBORHOOD,500 M TO 4KM,HIGHEST CONCENTRATION,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,2014-03-17,,,SLAMS,,1118,Ventura County APCD,1617,34.276316,-118.683685,NAD83,0.0,314.0,,TOP OF BUILDING,Simi Valley-Cochran Street,"5400 COCHRAN STREET, SIMI VALLEY, CA  93063",California,Ventura,Simi Valley,37100,"Oxnard-Thousand Oaks-Ventura, CA",348,"Los Angeles-Long Beach, CA",,,POINT (-118.683685 34.276316),37100,"Oxnard-Thousand Oaks-Ventura, CA",5490,06111008307,Ventura County,3377,0.502517026946994,0.100266983091071,0.046839472487494,0.14163961038961,0.027065527065527,8.42979704918033
06,031,0004,88101,8,PM2.5 - Local Conditions,2017-01-01,,,,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,2021-01-12,Y,,SLAMS,,0945,San Joaquin Valley Unified Air Pollution Control District,1035,36.102244,-119.56565,NAD83,3.04,61.0,5.0,TOP OF BUILDING,Corcoran-Patterson,1520 PATTERSON AVE.,California,Kings,Corcoran,25260,"Hanford-Corcoran, CA",546,"Visalia-Porterville-Hanford, CA",,,POINT (-119.56565 36.102244),25260,"Hanford-Corcoran, CA",377,06031001500,Kings County,6029,0.868137336208326,0.48555592878737,0.052426343154246,0.370647482014388,0.241230769230769,18.5840366120219
