sensor_index,name,latitude,longitude,pm2.5
3327,Stanford South,37.418682,-122.15756,0.0
3329,Front Office,37.11881,-120.74453,0.2
3336,Willow Glen West,37.304996,-121.91792,0.2
3374,Starlite Acres,39.252087,-121.07881,0.0
265547,Lincoln and Wash,34.025623,-118.49851,7.5
265627,Mendonesia,39.30535,-123.80284,1.9
265652,CBE20,37.776516,-122.20355,2.1
265657,CBE60,37.783722,-122.21578,0.0
265689,CBE24,37.731792,-122.19073,2.5
265701,CBE44,37.76387,-122.17975,1.8
265703,CBE26,37.76109,-122.16341,2.9
265727,CBE02,37.79466,-122.24251,2.1
3586,Bico de Pato,33.93592,-118.143265,0.2
265735,Charnock Rd,34.022358,-118.41111,7.9
265737,CC5,36.767498,-121.75279,3.4
265765,Wakefield Rd,34.453064,-118.622665,11.6
3631,Meadow Ct,38.407654,-122.83102,3393.1
265781,CCA3,36.784927,-121.732285,3.0
265801,Javiland,36.926186,-121.7738,2.9
265813,Burbank Sensor,34.18132,-118.3306,14.1
3666,Isis St,37.77044,-122.41462,0.6
3674,"Benbow, CA",40.07279,-123.783264,0.1
265823,Canyon Crest,34.203197,-118.161995,16.8
265880,Pasadena Public Health Department,34.177624,-118.15102,17.0
3779,North Torrance 405&amp;91,33.872246,-118.341064,0.1
265949,"SM, California",34.031227,-118.497246,8.6
3846,Orland,39.744804,-122.18415,2.4
3848,MARINCC,38.259796,-122.63819,0.1
3945,Jersey Street Vallejo,38.095932,-122.24911,0.4
4054,Semillas,34.085045,-118.18156,10.8
4091,Tasca di Stelle,38.76618,-122.893906,0.0
4103,Almaden Valley,37.236416,-121.88754,0.7
4109,North_Glendale,34.20454,-118.22038,0.0
266249,Florecita Farm (West Gate),34.201027,-118.16146,19.6
266279,Patrae Street,33.984486,-118.42341,8.4
266281,Solimar Beach,34.313084,-119.360794,11.2
4187,"331 Conejo Road, Santa Barbara,CA",34.445038,-119.67821,8.2
266401,Deer Springs,34.134583,-118.70982,14.7
4299,Saratoga Scotland near Glasgow Rd,37.2747,-122.0229,0.6
